Datum,Nachricht
2016-09-07T17:30:00.000+02:00,FH Preis=7.35 | H2_EMA20=7.32 | Abstand=0.47%
2016-09-07T17:30:00.000+02:00,Entry=7.35 | SL=7.30 (mode=Halber Abstand) | last_fl=7.26
2016-09-07T17:30:00.000+02:00,→ LONG ORDER PENDING gesetzt: Entry=7.35 SL=7.30
2016-09-07T17:30:00.000+02:00,──── Order Berechnung ────
2016-09-07T17:30:00.000+02:00,Equity=9811.61 | Risk%=1 | Risk$=98.12 | pointvalue=1 | mintick=0.01
2016-09-07T17:30:00.000+02:00,Entry=7.35 | SL=7.30 | SL-Dist=0.05 | Loss/Kontrakt=0.0475 | Qty=2065.60295221
2016-09-07T17:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=2065.60295221 Entry(Stop)=7.35 SL=7.30
2016-09-07T19:30:00.000+02:00,──── Order Berechnung ────
2016-09-07T19:30:00.000+02:00,Equity=9811.61 | Risk%=1 | Risk$=98.12 | pointvalue=1 | mintick=0.01
2016-09-07T19:30:00.000+02:00,Entry=7.35 | SL=7.30 | SL-Dist=0.05 | Loss/Kontrakt=0.0475 | Qty=2065.60295221
2016-09-07T19:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=2065.60295221 Entry(Stop)=7.35 SL=7.30
2016-09-07T21:30:00.000+02:00,──── Order Berechnung ────
2016-09-07T21:30:00.000+02:00,Equity=9811.61 | Risk%=1 | Risk$=98.12 | pointvalue=1 | mintick=0.01
2016-09-07T21:30:00.000+02:00,Entry=7.35 | SL=7.30 | SL-Dist=0.05 | Loss/Kontrakt=0.0475 | Qty=2065.60295221
2016-09-07T21:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=2065.60295221 Entry(Stop)=7.35 SL=7.30
2016-09-08T15:30:00.000+02:00,──── Order Berechnung ────
2016-09-08T15:30:00.000+02:00,Equity=9811.61 | Risk%=1 | Risk$=98.12 | pointvalue=1 | mintick=0.01
2016-09-08T15:30:00.000+02:00,Entry=7.35 | SL=7.30 | SL-Dist=0.05 | Loss/Kontrakt=0.0475 | Qty=2065.60295221
2016-09-08T15:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=2065.60295221 Entry(Stop)=7.35 SL=7.30
2016-09-08T15:30:00.000+02:00,⊘ ORDER STORNIERT: Entry zu weit weg! Entry=7.35 Close=6.38 Abstand=15.29% (Max=5%)
2016-10-10T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-10-10T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-10-10T19:30:00.000+02:00,FH Preis=6.94 | H2_EMA20=6.81 | Abstand=1.78%
2016-10-10T19:30:00.000+02:00,Entry=6.94 | SL=6.78 (mode=Halber Abstand) | last_fl=6.63
2016-10-10T19:30:00.000+02:00,→ LONG ORDER PENDING gesetzt: Entry=6.94 SL=6.78
2016-10-10T19:30:00.000+02:00,──── Order Berechnung ────
2016-10-10T19:30:00.000+02:00,Equity=9811.61 | Risk%=1 | Risk$=98.12 | pointvalue=1 | mintick=0.01
2016-10-10T19:30:00.000+02:00,Entry=6.94 | SL=6.78 | SL-Dist=0.16 | Loss/Kontrakt=0.155 | Qty=633.00735632
2016-10-10T19:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=633.00735632 Entry(Stop)=6.94 SL=6.78
2016-10-10T21:30:00.000+02:00,──── Order Berechnung ────
2016-10-10T21:30:00.000+02:00,Equity=9811.61 | Risk%=1 | Risk$=98.12 | pointvalue=1 | mintick=0.01
2016-10-10T21:30:00.000+02:00,Entry=6.94 | SL=6.78 | SL-Dist=0.16 | Loss/Kontrakt=0.155 | Qty=633.00735632
2016-10-10T21:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=633.00735632 Entry(Stop)=6.94 SL=6.78
2016-10-11T15:30:00.000+02:00,──── Order Berechnung ────
2016-10-11T15:30:00.000+02:00,Equity=9811.61 | Risk%=1 | Risk$=98.12 | pointvalue=1 | mintick=0.01
