time,open,high,low,close
1771305120,24544.6,24546.3,24543.8,24544.7
1771305180,24544.8,24548.1,24541.5,24541.9
1771305240,24541.5,24541.5,24529.5,24531
1771305300,24530.8,24535.4,24529.3,24531.2
1771305360,24531.5,24533,24527.1,24530.9
1771305420,24531.5,24532.3,24520.5,24527.6
1771305480,24526.9,24534.1,24525.5,24526
1771305540,24525.9,24529.1,24513,24514.9
1771305600,24514.6,24517.6,24498.6,24514.9
1771305660,24515,24522.1,24513.1,24520.3
1771305720,24519.8,24535.6,24519.7,24532.7
1771305780,24532.6,24532.8,24520.2,24525.4
1771305840,24525.5,24526,24520,24523.1
1771305900,24523.2,24525.6,24518.2,24520.6
1771305960,24520.8,24530.5,24520,24523.4
1771306020,24522.2,24525.5,24519.5,24525.1
1771306080,24525.2,24532.5,24525,24525.9
1771306140,24526.8,24533.8,24526.7,24529.2
1771306200,24530.7,24533.9,24527.2,24532.9
1771306260,24532.8,24533.6,24523.2,24527.1
1771306320,24527.2,24528.4,24521.1,24528.4
1771306380,24527.8,24532,24516,24516.9
1771306440,24517,24520.5,24504.5,24507.2
1771306500,24507,24507,24488.6,24495.4
1771306560,24495.5,24506.9,24494.9,24501
1771306620,24501.7,24515.9,24501.7,24510.9
1771306680,24510.5,24514.4,24504.2,24513.6
1771306740,24513.8,24516.4,24508.2,24509.7
1771306800,24509.5,24518.3,24505,24518.3
1771306860,24518,24530.4,24517.5,24529.3
1771306920,24529.1,24531.2,24523.9,24525
1771306980,24524.7,24530.7,24522.6,24529.3
1771307040,24529.4,24532.7,24527.4,24528.4
1771307100,24528.5,24531.8,24524.6,24527.3
1771307160,24527.8,24531.7,24525.7,24529.8
1771307220,24530.3,24531.1,24526.4,24529.1
1771307280,24529.2,24542,24529.2,24540.9
1771307340,24539.9,24543.2,24535.4,24540.1
1771307400,24540.2,24542.5,24534.8,24537.8
1771307460,24538,24538.5,24524.1,24524.1
1771307520,24524.2,24535.1,24524.2,24529.4
1771307580,24529.8,24530.3,24514.5,24520.8
1771307640,24520.6,24520.6,24511,24512.4
1771307700,24512.3,24517.4,24507.5,24513.8
1771307760,24513.7,24518.1,24506.2,24517.6
1771307820,24517.8,24525.6,24517.4,24521.8
1771307880,24521.2,24522.3,24507.2,24510
1771307940,24509.8,24514.1,24509.3,24513.9
1771308000,24513.8,24526.1,24513.8,24524.3
1771308060,24524.2,24525.4,24514.4,24521.3
1771308120,24521.2,24532.6,24521.1,24531.6
1771308180,24531.8,24531.8,24522.1,24528.8
1771308240,24529.9,24531,24526.3,24527.2
1771308300,24527,24534.1,24525.7,24532.3
1771308360,24532.5,24535.7,24527.6,24529.1
1771308420,24530.6,24533.1,24528.3,24531.1
1771308480,24531,24542,24531,24539.7
1771308540,24539.8,24552.7,24539.8,24550.7
1771308600,24551,24558.8,24547.6,24558.8
1771308660,24558.6,24564,24550.2,24554.4
1771308720,24553.9,24556.5,24550.7,24554
1771308780,24554.5,24564.1,24546.4,24556.4
1771308840,24556.5,24557.2,24547.9,24549.1
1771308900,24550.6,24552.6,24546.8,24549.9
1771308960,24550,24556,24544.5,24551.8
1771309020,24551.4,24555.6,24551.2,24553
1771309080,24552.9,24555.6,24549.5,24552.6
1771309140,24552.3,24554.9,24550.1,24550.9
1771309200,24551.5,24551.5,24543.6,24547.6
1771309260,24547.7,24551.1,24546.1,24549
1771309320,24549.5,24549.5,24543.5,24545.7
1771309380,24545.4,24548.4,24539.5,24542.3
1771309440,24542.2,24543.7,24540.5,24542.1
1771309500,24542.4,24543.1,24539.5,24541.2
1771309560,24540,24546.1,24537.7,24545.5
1771309620,24545.8,24546.8,24541.8,24542.3
1771309680,24542.6,24544.8,24541,24542.6
1771309740,24543.6,24544.1,24540.4,24541.4
1771309800,24542,24543.3,24533.1,24539.7
1771309860,24539.2,24539.7,24533.7,24535.2
1771309920,24535.8,24539.3,24533.4,24538.8
1771309980,24538.7,24543.9,24535.2,24542.2
1771310040,24542.4,24544.2,24535.3,24535.9
1771310100,24536.7,24541.9,24536.7,24540.6
1771310160,24540.5,24549.5,24540.1,24544.2
1771310220,24544.8,24547,24542.1,24543.4
1771310280,24543.3,24544.6,24541.6,24542.5
1771310340,24542.6,24548.1,24542.6,24546.5
1771310400,24546.6,24559.8,24546.6,24558.1
1771310460,24557.7,24569.2,24557.7,24568.6
1771310520,24568.3,24568.3,24558.3,24562.4
1771310580,24562.7,24563,24558.5,24559.9
1771310640,24560.1,24561.4,24557.3,24558.7
1771310700,24558.6,24565.2,24556.8,24560.3
1771310760,24560.1,24571.9,24556.6,24569.1
1771310820,24566.2,24566.5,24550.1,24553.6
1771310880,24553.7,24555.9,24550.5,24555.9
1771310940,24555.8,24556.5,24553.4,24555.7
1771311000,24555.8,24556.2,24550.5,24554.7
1771311060,24554.8,24564.5,24554.2,24562.3
1771311120,24562,24563.9,24555.9,24563.9
1771311180,24563.7,24565.7,24560.2,24561
1771311240,24561.2,24562.1,24556.6,24561.8
1771311300,24561.6,24563.2,24556.8,24559.7
1771311360,24559.8,24560.2,24555.5,24557.5
1771311420,24557.6,24562.4,24557.6,24558.1
1771311480,24558.4,24565.1,24558.4,24565.1
1771311540,24567.3,24567.6,24557.2,24558.9
1771311600,24559.4,24562.2,24550.2,24550.4
1771311660,24550.6,24550.6,24537.5,24545.2
1771311720,24546.5,24553.5,24546,24549.7
1771311780,24549.5,24550.7,24540,24541.2
1771311840,24541.1,24543.5,24538.1,24542.8
1771311900,24543,24543,24534.6,24538.5
1771311960,24538.9,24541.7,24533,24536.3
1771312020,24536.8,24542.8,24534.4,24540.3
1771312080,24539.9,24540.7,24526.7,24534.7
1771312140,24535,24539.9,24531.9,24534.4
1771312200,24534.6,24541.4,24531.2,24535.5
1771312260,24535.8,24537,24529.6,24533.1
1771312320,24533.4,24542.3,24532.9,24537.9
1771312380,24537.3,24540,24536.7,24539.9
1771312440,24539.6,24539.7,24530.2,24530.2
1771312500,24530.1,24538.3,24525.3,24534.4
1771312560,24534.9,24535.7,24530.9,24533.5
1771312620,24535,24541.2,24535,24541.2
1771312680,24541.3,24541.5,24537.4,24539.9
1771312740,24540,24540.7,24532.6,24537
1771312800,24536.9,24542.9,24533.7,24542
1771312860,24542.1,24542.9,24530.3,24536.8
1771312920,24537,24538.1,24529.8,24532.9
1771312980,24536.4,24541,24535.2,24535.5
1771313040,24534.8,24546.3,24534.8,24544.1
1771313100,24544.2,24548.1,24535,24535.4
1771313160,24535.5,24541.4,24534,24535.3
1771313220,24535.4,24536.7,24525.2,24529.4
1771313280,24529.5,24529.5,24514.6,24521.3
1771313340,24521.4,24528.8,24517.5,24524.2
1771313400,24524.3,24530.8,24518.5,24521.4
1771313460,24521.3,24526.1,24514.4,24522.1
1771313520,24520.8,24531.6,24520.8,24527
1771313580,24527.4,24528.4,24522,24524.6
1771313640,24524.7,24532.3,24520,24521.1
1771313700,24522.7,24526.3,24519.9,24525.9
1771313760,24526,24535.4,24526,24531
1771313820,24531.1,24547.6,24531,24547.4
1771313880,24547.6,24551.2,24543.2,24550.7
1771313940,24550.8,24561.7,24550.4,24560.2
1771314000,24559.1,24564.9,24555.8,24563.3
1771314060,24563.2,24564.4,24553.3,24559.5
1771314120,24560.6,24563.4,24556,24556.9
1771314180,24557.1,24562.7,24555.6,24556.6
1771314240,24556.5,24560.6,24554,24558.2
1771314300,24558,24559.8,24552.9,24555
1771314360,24555.2,24568.5,24554.3,24566.7
1771314420,24566.6,24577.9,24556.6,24560.3
1771314480,24560.8,24563.1,24554.1,24554.8
1771314540,24554.6,24562.6,24553.2,24561.2
1771314600,24561.4,24576.7,24561.4,24576.6
1771314660,24576.2,24578.6,24569.3,24570.7
1771314720,24571.2,24578.3,24569.5,24574.4
1771314780,24574.5,24580.8,24570.9,24580.8
1771314840,24580.7,24589.5,24580.2,24586.6
1771314900,24586.7,24594.8,24586.7,24594.1
1771314960,24594.2,24594.2,24588.9,24590.5
1771315020,24590.2,24594.1,24584.6,24593.3
1771315080,24592.6,24593.1,24584.9,24586.1
1771315140,24586,24590.8,24582.3,24589.9
1771315200,24590,24617.2,24582.8,24616.9
1771315260,24616.8,24636.9,24616.7,24633.1
1771315320,24633.7,24651.4,24630.1,24635.1
1771315380,24635,24648.9,24635,24637.9
1771315440,24638.1,24638.5,24626.9,24633.1
1771315500,24633.4,24634.3,24621,24627.5
1771315560,24627.6,24631,24620.4,24628.1
1771315620,24628.6,24630.6,24621.1,24629.1
1771315680,24629.9,24638.9,24629.3,24638.9
1771315740,24639.9,24640.5,24632.7,24638.3
1771315800,24637.7,24638.3,24627.7,24630.5
1771315860,24634.9,24655.3,24632.8,24652
1771315920,24652.5,24655.7,24649.4,24652.5
1771315980,24652.3,24655.7,24637.4,24640.6
1771316040,24640.2,24644.1,24630.1,24636.8
1771316100,24636.7,24636.7,24626.2,24627.4
1771316160,24626.5,24629.9,24612.9,24615.9
